桩号,填方面积(㎡),挖方面积(㎡),清表面积(㎡),清表左边界X,清表右边界X,top,CRR,C1,C2,G15,G7,top,CRR,C1,C2,G15,G17
K88+800,24.410,0.000,7.124,-11.559,11.878,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+825,24.876,0.000,7.139,-11.685,11.825,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+850,23.797,0.000,7.148,-11.680,11.875,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+875,21.448,0.000,7.237,-11.957,11.787,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+900,26.295,0.000,7.276,-11.986,11.877,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+925,23.090,0.000,7.160,-11.872,11.639,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+950,20.365,0.000,7.103,-11.693,11.597,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K88+975,19.545,0.000,7.058,-11.528,11.503,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+000,18.910,0.000,7.018,-11.417,11.555,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+025,26.168,0.000,7.481,-11.477,11.960,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+050,15.527,0.000,6.817,-11.297,11.104,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+075,13.297,0.148,6.951,-11.156,11.591,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+100,13.779,0.000,6.857,-11.165,11.227,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+125,13.694,0.000,6.903,-11.160,11.408,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+150,9.134,0.000,6.620,-10.406,11.402,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+175,18.079,0.000,6.853,-11.289,11.262,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+200,18.913,0.000,6.947,-11.411,11.419,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
